
Training on cuda | logs -> training_logs/run_seed41_config1_fresh_20260513_200855
Config: ..\..\configs\config1.yaml
Episodes: 0 -> ...
Steps: 0 -> 100000

Episode     0 | Steps:      40 | Reward:   0.097 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 17.1% (7+ 34-) | Lifetime: 17.1%
Episode     1 | Steps:      81 | Reward:   0.098 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 19.5% (8+ 33-) | Lifetime: 18.3%
Episode     2 | Steps:     111 | Reward:   1.798 | Avg(100):   0.664 | Entropy: 0.1000 | Acc: 26.7% (8+ 22-) | Lifetime: 20.5%
Episode     3 | Steps:     143 | Reward:  -0.902 | Avg(100):   0.273 | Entropy: 0.1000 | Acc: 21.9% (7+ 25-) | Lifetime: 20.8%
Episode     4 | Steps:     177 | Reward:  -0.201 | Avg(100):   0.178 | Entropy: 0.1000 | Acc: 23.5% (8+ 26-) | Lifetime: 21.3%
Episode     5 | Steps:     239 | Reward:  -6.004 | Avg(100):  -0.852 | Entropy: 0.1000 | Acc: 11.3% (7+ 55-) | Lifetime: 18.8%
Episode     6 | Steps:     274 | Reward:  -0.503 | Avg(100):  -0.802 | Entropy: 0.0998 | Acc: 22.9% (8+ 27-) | Lifetime: 19.3%
Episode     7 | Steps:     322 | Reward:  -3.803 | Avg(100):  -1.177 | Entropy: 0.0998 | Acc: 16.7% (8+ 40-) | Lifetime: 18.9%
Episode     8 | Steps:     359 | Reward:   1.497 | Avg(100):  -0.880 | Entropy: 0.0998 | Acc: 21.6% (8+ 29-) | Lifetime: 19.2%
Episode     9 | Steps:     388 | Reward:   1.398 | Avg(100):  -0.652 | Entropy: 0.0998 | Acc: 31.0% (9+ 20-) | Lifetime: 20.1%
Episode    10 | Steps:     433 | Reward:  -4.704 | Avg(100):  -1.021 | Entropy: 0.0998 | Acc: 6.7% (3+ 42-) | Lifetime: 18.7%
Episode    11 | Steps:     471 | Reward:  -2.302 | Avg(100):  -1.127 | Entropy: 0.0998 | Acc: 15.8% (6+ 32-) | Lifetime: 18.4%
  [Step 500] Action dist: A0:22% | A1:20% | A2:12% | A3:26% | A4:19%
Episode    12 | Steps:     520 | Reward:  -1.904 | Avg(100):  -1.187 | Entropy: 0.0996 | Acc: 16.3% (8+ 41-) | Lifetime: 18.2%
Episode    13 | Steps:     558 | Reward:  -0.303 | Avg(100):  -1.124 | Entropy: 0.0996 | Acc: 18.4% (7+ 31-) | Lifetime: 18.2%
Episode    14 | Steps:     588 | Reward:   0.299 | Avg(100):  -1.029 | Entropy: 0.0996 | Acc: 26.7% (8+ 22-) | Lifetime: 18.7%
Episode    15 | Steps:     634 | Reward:   0.596 | Avg(100):  -0.928 | Entropy: 0.0996 | Acc: 17.4% (8+ 38-) | Lifetime: 18.6%
Episode    16 | Steps:     671 | Reward:  -1.803 | Avg(100):  -0.979 | Entropy: 0.0996 | Acc: 16.2% (6+ 31-) | Lifetime: 18.5%
Episode    17 | Steps:     695 | Reward:   0.600 | Avg(100):  -0.891 | Entropy: 0.0996 | Acc: 33.3% (8+ 16-) | Lifetime: 19.0%
Episode    18 | Steps:     735 | Reward:  -2.203 | Avg(100):  -0.960 | Entropy: 0.0996 | Acc: 12.5% (5+ 35-) | Lifetime: 18.6%
Episode    19 | Steps:     765 | Reward:   0.399 | Avg(100):  -0.892 | Entropy: 0.0996 | Acc: 23.3% (7+ 23-) | Lifetime: 18.8%
Episode    20 | Steps:     802 | Reward:  -2.904 | Avg(100):  -0.988 | Entropy: 0.0994 | Acc: 10.8% (4+ 33-) | Lifetime: 18.4%
Episode    21 | Steps:     834 | Reward:  -0.202 | Avg(100):  -0.952 | Entropy: 0.0994 | Acc: 25.0% (8+ 24-) | Lifetime: 18.7%
Episode    22 | Steps:     867 | Reward:   0.898 | Avg(100):  -0.872 | Entropy: 0.0994 | Acc: 24.2% (8+ 25-) | Lifetime: 18.9%
Episode    23 | Steps:     901 | Reward:  -1.702 | Avg(100):  -0.907 | Entropy: 0.0994 | Acc: 20.6% (7+ 27-) | Lifetime: 19.0%
Episode    24 | Steps:     930 | Reward:   1.900 | Avg(100):  -0.794 | Entropy: 0.0994 | Acc: 34.5% (10+ 19-) | Lifetime: 19.4%
Episode    25 | Steps:     964 | Reward:  -1.102 | Avg(100):  -0.806 | Entropy: 0.0994 | Acc: 20.6% (7+ 27-) | Lifetime: 19.5%
  [Step 1000] Action dist: A0:21% | A1:20% | A2:13% | A3:21% | A4:26%
Episode    26 | Steps:    1005 | Reward:  -2.102 | Avg(100):  -0.854 | Entropy: 0.0994 | Acc: 17.1% (7+ 34-) | Lifetime: 19.4%
Episode    27 | Steps:    1053 | Reward:  -3.405 | Avg(100):  -0.945 | Entropy: 0.0992 | Acc: 14.6% (7+ 41-) | Lifetime: 19.2%
Episode    28 | Steps:    1082 | Reward:   2.099 | Avg(100):  -0.840 | Entropy: 0.0992 | Acc: 31.0% (9+ 20-) | Lifetime: 19.5%
Episode    29 | Steps:    1117 | Reward:   0.396 | Avg(100):  -0.799 | Entropy: 0.0992 | Acc: 14.3% (5+ 30-) | Lifetime: 19.3%
Episode    30 | Steps:    1146 | Reward:   1.697 | Avg(100):  -0.719 | Entropy: 0.0992 | Acc: 24.1% (7+ 22-) | Lifetime: 19.4%
Episode    31 | Steps:    1165 | Reward:   1.999 | Avg(100):  -0.634 | Entropy: 0.0992 | Acc: 36.8% (7+ 12-) | Lifetime: 19.7%
Episode    32 | Steps:    1201 | Reward:  -0.704 | Avg(100):  -0.636 | Entropy: 0.0992 | Acc: 16.7% (6+ 30-) | Lifetime: 19.6%
Episode    33 | Steps:    1250 | Reward:  -2.005 | Avg(100):  -0.676 | Entropy: 0.0992 | Acc: 12.2% (6+ 43-) | Lifetime: 19.3%
Episode    34 | Steps:    1275 | Reward:   1.302 | Avg(100):  -0.619 | Entropy: 0.0992 | Acc: 40.0% (10+ 15-) | Lifetime: 19.7%
Episode    35 | Steps:    1319 | Reward:  -2.504 | Avg(100):  -0.672 | Entropy: 0.0990 | Acc: 11.4% (5+ 39-) | Lifetime: 19.5%
Episode    36 | Steps:    1360 | Reward:  -0.403 | Avg(100):  -0.665 | Entropy: 0.0990 | Acc: 22.0% (9+ 32-) | Lifetime: 19.5%
Episode    37 | Steps:    1380 | Reward:   1.901 | Avg(100):  -0.597 | Entropy: 0.0990 | Acc: 40.0% (8+ 12-) | Lifetime: 19.8%
Episode    38 | Steps:    1417 | Reward:  -0.101 | Avg(100):  -0.584 | Entropy: 0.0990 | Acc: 21.6% (8+ 29-) | Lifetime: 19.9%
Episode    39 | Steps:    1458 | Reward:  -0.704 | Avg(100):  -0.587 | Entropy: 0.0990 | Acc: 17.1% (7+ 34-) | Lifetime: 19.8%
  [Step 1500] Action dist: A0:16% | A1:20% | A2:20% | A3:18% | A4:27%
Episode    40 | Steps:    1509 | Reward:  -4.803 | Avg(100):  -0.690 | Entropy: 0.0990 | Acc: 9.8% (5+ 46-) | Lifetime: 19.5%
Episode    41 | Steps:    1538 | Reward:   0.098 | Avg(100):  -0.671 | Entropy: 0.0988 | Acc: 20.7% (6+ 23-) | Lifetime: 19.5%
Episode    42 | Steps:    1561 | Reward:   0.202 | Avg(100):  -0.651 | Entropy: 0.0988 | Acc: 30.4% (7+ 16-) | Lifetime: 19.7%
Episode    43 | Steps:    1582 | Reward:   1.301 | Avg(100):  -0.607 | Entropy: 0.0988 | Acc: 42.9% (9+ 12-) | Lifetime: 20.0%
