
Training on cuda | logs -> training_logs/run_seed41_config1_fresh_20260529_202845
Config: ..\..\configs\config1.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      42 | Reward:  -5.804 | Avg(100):  -5.804 | Entropy: 0.1000 | Acc: 9.3% (4+ 39-) | Lifetime: 9.3%
Episode     1 | Steps:      65 | Reward:   1.798 | Avg(100):  -2.003 | Entropy: 0.1000 | Acc: 30.4% (7+ 16-) | Lifetime: 16.7%
Episode     2 | Steps:     109 | Reward:  -5.304 | Avg(100):  -3.103 | Entropy: 0.1000 | Acc: 11.4% (5+ 39-) | Lifetime: 14.5%
Episode     3 | Steps:     136 | Reward:  -0.003 | Avg(100):  -2.328 | Entropy: 0.1000 | Acc: 25.9% (7+ 20-) | Lifetime: 16.8%
Episode     4 | Steps:     166 | Reward:  -0.901 | Avg(100):  -2.043 | Entropy: 0.1000 | Acc: 24.1% (7+ 22-) | Lifetime: 18.1%
Episode     5 | Steps:     183 | Reward:   2.700 | Avg(100):  -1.252 | Entropy: 0.1000 | Acc: 47.1% (8+ 9-) | Lifetime: 20.8%
Episode     6 | Steps:     232 | Reward:  -7.303 | Avg(100):  -2.117 | Entropy: 0.1000 | Acc: 10.2% (5+ 44-) | Lifetime: 18.5%
Episode     7 | Steps:     259 | Reward:  -2.900 | Avg(100):  -2.215 | Entropy: 0.0999 | Acc: 18.5% (5+ 22-) | Lifetime: 18.5%
Episode     8 | Steps:     299 | Reward:  -1.404 | Avg(100):  -2.124 | Entropy: 0.0999 | Acc: 20.0% (8+ 32-) | Lifetime: 18.7%
Episode     9 | Steps:     334 | Reward:  -1.603 | Avg(100):  -2.072 | Entropy: 0.0999 | Acc: 20.0% (7+ 28-) | Lifetime: 18.9%
Episode    10 | Steps:     362 | Reward:  -1.401 | Avg(100):  -2.011 | Entropy: 0.0999 | Acc: 21.4% (6+ 22-) | Lifetime: 19.1%
Episode    11 | Steps:     394 | Reward:  -0.301 | Avg(100):  -1.869 | Entropy: 0.0999 | Acc: 25.0% (8+ 24-) | Lifetime: 19.5%
Episode    12 | Steps:     419 | Reward:  -1.302 | Avg(100):  -1.825 | Entropy: 0.0999 | Acc: 24.0% (6+ 19-) | Lifetime: 19.8%
Episode    13 | Steps:     465 | Reward:  -7.204 | Avg(100):  -2.209 | Entropy: 0.0999 | Acc: 6.8% (3+ 41-) | Lifetime: 18.6%
