
Training on cuda | logs -> training_logs/run_seed41_config5_fresh_20260522_174755
Config: ..\..\configs\config5.yaml
Episodes: 0 -> ...
Steps: 0 -> 100000

Episode     0 | Steps:      32 | Reward:  -0.002 | Avg(100):  -0.002 | Entropy: 0.1000 | Acc: 21.2% (7+ 26-) | Lifetime: 21.2%
Episode     1 | Steps:      69 | Reward:  -2.104 | Avg(100):  -1.053 | Entropy: 0.1000 | Acc: 10.8% (4+ 33-) | Lifetime: 15.7%
Episode     2 | Steps:      93 | Reward:   3.400 | Avg(100):   0.431 | Entropy: 0.1000 | Acc: 37.5% (9+ 15-) | Lifetime: 21.3%
Episode     3 | Steps:     125 | Reward:   0.798 | Avg(100):   0.523 | Entropy: 0.1000 | Acc: 25.0% (8+ 24-) | Lifetime: 22.2%
Episode     4 | Steps:     155 | Reward:   1.597 | Avg(100):   0.738 | Entropy: 0.1000 | Acc: 23.3% (7+ 23-) | Lifetime: 22.4%
Episode     5 | Steps:     164 | Reward:  -0.001 | Avg(100):   0.615 | Entropy: 0.1000 | Acc: 22.2% (2+ 7-) | Lifetime: 22.4%
Episode     6 | Steps:     199 | Reward:   0.597 | Avg(100):   0.612 | Entropy: 0.1000 | Acc: 20.0% (7+ 28-) | Lifetime: 22.0%
Episode     7 | Steps:     231 | Reward:   0.699 | Avg(100):   0.623 | Entropy: 0.1000 | Acc: 28.1% (9+ 23-) | Lifetime: 22.8%
Episode     8 | Steps:     265 | Reward:  -0.402 | Avg(100):   0.509 | Entropy: 0.0998 | Acc: 26.5% (9+ 25-) | Lifetime: 23.3%
Episode     9 | Steps:     307 | Reward:  -0.604 | Avg(100):   0.398 | Entropy: 0.0998 | Acc: 19.0% (8+ 34-) | Lifetime: 22.7%
Episode    10 | Steps:     336 | Reward:  -0.103 | Avg(100):   0.352 | Entropy: 0.0998 | Acc: 20.7% (6+ 23-) | Lifetime: 22.6%
Episode    11 | Steps:     370 | Reward:  -0.301 | Avg(100):   0.298 | Entropy: 0.0998 | Acc: 20.6% (7+ 27-) | Lifetime: 22.4%
Episode    12 | Steps:     398 | Reward:  -0.000 | Avg(100):   0.275 | Entropy: 0.0998 | Acc: 28.6% (8+ 20-) | Lifetime: 22.8%
Episode    13 | Steps:     438 | Reward:  -0.803 | Avg(100):   0.198 | Entropy: 0.0998 | Acc: 17.5% (7+ 33-) | Lifetime: 22.3%
Episode    14 | Steps:     462 | Reward:  -1.602 | Avg(100):   0.078 | Entropy: 0.0998 | Acc: 8.3% (2+ 22-) | Lifetime: 21.6%
  [Step 500] Action dist: A0:16% | A1:17% | A2:18% | A3:31% | A4:17%
Episode    15 | Steps:     501 | Reward:  -1.602 | Avg(100):  -0.027 | Entropy: 0.0998 | Acc: 17.9% (7+ 32-) | Lifetime: 21.3%
Episode    16 | Steps:     534 | Reward:   0.798 | Avg(100):   0.021 | Entropy: 0.0996 | Acc: 21.2% (7+ 26-) | Lifetime: 21.3%
Episode    17 | Steps:     547 | Reward:   0.400 | Avg(100):   0.042 | Entropy: 0.0996 | Acc: 23.1% (3+ 10-) | Lifetime: 21.4%
Episode    18 | Steps:     580 | Reward:   0.897 | Avg(100):   0.087 | Entropy: 0.0996 | Acc: 21.2% (7+ 26-) | Lifetime: 21.3%
Episode    19 | Steps:     621 | Reward:  -0.904 | Avg(100):   0.038 | Entropy: 0.0996 | Acc: 14.6% (6+ 35-) | Lifetime: 20.9%
Episode    20 | Steps:     656 | Reward:   1.197 | Avg(100):   0.093 | Entropy: 0.0996 | Acc: 20.0% (7+ 28-) | Lifetime: 20.9%
Episode    21 | Steps:     689 | Reward:  -0.002 | Avg(100):   0.089 | Entropy: 0.0996 | Acc: 21.2% (7+ 26-) | Lifetime: 20.9%
Episode    22 | Steps:     727 | Reward:   0.997 | Avg(100):   0.128 | Entropy: 0.0996 | Acc: 28.9% (11+ 27-) | Lifetime: 21.3%
