
Training on cuda | logs -> training_logs/run_seed43_config2 (3)_resumed_20260522_224911
Config: ..\..\configs\config2 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode     0 | Steps:      36 | Reward:  -3.601 | Avg(100):  -3.601 | Entropy: 0.1000 | Acc: 16.2% (6+ 31-) | Lifetime: 16.2%
Episode     1 | Steps:      75 | Reward:  -0.902 | Avg(100):  -2.252 | Entropy: 0.1000 | Acc: 20.5% (8+ 31-) | Lifetime: 18.4%
Episode     2 | Steps:      92 | Reward:   4.100 | Avg(100):  -0.134 | Entropy: 0.1000 | Acc: 52.9% (9+ 8-) | Lifetime: 24.7%
Episode     3 | Steps:     123 | Reward:  -0.800 | Avg(100):  -0.301 | Entropy: 0.1000 | Acc: 25.8% (8+ 23-) | Lifetime: 25.0%
Episode     4 | Steps:     169 | Reward:  -3.105 | Avg(100):  -0.862 | Entropy: 0.1000 | Acc: 8.7% (4+ 42-) | Lifetime: 20.6%
Episode     5 | Steps:     207 | Reward:  -3.202 | Avg(100):  -1.252 | Entropy: 0.1000 | Acc: 13.2% (5+ 33-) | Lifetime: 19.2%
Episode     6 | Steps:     246 | Reward:  -2.203 | Avg(100):  -1.388 | Entropy: 0.1000 | Acc: 17.9% (7+ 32-) | Lifetime: 19.0%
Episode     7 | Steps:     281 | Reward:   0.096 | Avg(100):  -1.202 | Entropy: 0.0999 | Acc: 20.0% (7+ 28-) | Lifetime: 19.1%
Episode     8 | Steps:     305 | Reward:   1.899 | Avg(100):  -0.857 | Entropy: 0.0999 | Acc: 37.5% (9+ 15-) | Lifetime: 20.6%
Episode     9 | Steps:     339 | Reward:  -0.900 | Avg(100):  -0.862 | Entropy: 0.0999 | Acc: 23.5% (8+ 26-) | Lifetime: 20.9%
Episode    10 | Steps:     376 | Reward:  -1.701 | Avg(100):  -0.938 | Entropy: 0.0999 | Acc: 21.6% (8+ 29-) | Lifetime: 21.0%
Episode    11 | Steps:     407 | Reward:   0.998 | Avg(100):  -0.777 | Entropy: 0.0999 | Acc: 22.6% (7+ 24-) | Lifetime: 21.1%
Episode    12 | Steps:     433 | Reward:   1.298 | Avg(100):  -0.617 | Entropy: 0.0999 | Acc: 30.8% (8+ 18-) | Lifetime: 21.7%
Episode    13 | Steps:     469 | Reward:  -0.801 | Avg(100):  -0.630 | Entropy: 0.0999 | Acc: 25.0% (9+ 27-) | Lifetime: 21.9%
Episode    14 | Steps:     497 | Reward:   1.302 | Avg(100):  -0.501 | Entropy: 0.0999 | Acc: 35.7% (10+ 18-) | Lifetime: 22.7%
  [Step 500] Action dist: A0:27% | A1:17% | A2:17% | A3:18% | A4:22%
Episode    15 | Steps:     527 | Reward:   1.001 | Avg(100):  -0.408 | Entropy: 0.0997 | Acc: 33.3% (10+ 20-) | Lifetime: 23.3%
Episode    16 | Steps:     560 | Reward:   1.198 | Avg(100):  -0.313 | Entropy: 0.0997 | Acc: 24.2% (8+ 25-) | Lifetime: 23.4%
Episode    17 | Steps:     625 | Reward:  -5.307 | Avg(100):  -0.591 | Entropy: 0.0997 | Acc: 9.2% (6+ 59-) | Lifetime: 21.9%
Episode    18 | Steps:     660 | Reward:  -1.903 | Avg(100):  -0.660 | Entropy: 0.0997 | Acc: 17.1% (6+ 29-) | Lifetime: 21.6%
Episode    19 | Steps:     684 | Reward:   1.698 | Avg(100):  -0.542 | Entropy: 0.0997 | Acc: 29.2% (7+ 17-) | Lifetime: 21.9%
Episode    20 | Steps:     736 | Reward:  -2.604 | Avg(100):  -0.640 | Entropy: 0.0997 | Acc: 15.4% (8+ 44-) | Lifetime: 21.4%
Episode    21 | Steps:     766 | Reward:   2.098 | Avg(100):  -0.515 | Entropy: 0.0997 | Acc: 30.0% (9+ 21-) | Lifetime: 21.8%
Episode    22 | Steps:     790 | Reward:   2.100 | Avg(100):  -0.402 | Entropy: 0.0996 | Acc: 37.5% (9+ 15-) | Lifetime: 22.3%
