
Training on cuda | logs -> training_logs/run_seed41_config9_resumed_20260523_044341
Config: ..\..\configs\config9.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode     0 | Steps:      40 | Reward:   0.097 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 17.1% (7+ 34-) | Lifetime: 17.1%
Episode     1 | Steps:      81 | Reward:   0.098 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 19.5% (8+ 33-) | Lifetime: 18.3%
Episode     2 | Steps:     111 | Reward:   1.798 | Avg(100):   0.664 | Entropy: 0.1000 | Acc: 26.7% (8+ 22-) | Lifetime: 20.5%
Episode     3 | Steps:     143 | Reward:  -1.001 | Avg(100):   0.248 | Entropy: 0.0999 | Acc: 21.9% (7+ 25-) | Lifetime: 20.8%
Episode     4 | Steps:     178 | Reward:  -1.202 | Avg(100):  -0.042 | Entropy: 0.0999 | Acc: 20.0% (7+ 28-) | Lifetime: 20.7%
Episode     5 | Steps:     225 | Reward:  -4.703 | Avg(100):  -0.819 | Entropy: 0.0999 | Acc: 14.9% (7+ 40-) | Lifetime: 19.5%
Episode     6 | Steps:     260 | Reward:  -0.401 | Avg(100):  -0.759 | Entropy: 0.0999 | Acc: 22.9% (8+ 27-) | Lifetime: 19.9%
Episode     7 | Steps:     313 | Reward:  -3.004 | Avg(100):  -1.040 | Entropy: 0.0999 | Acc: 17.0% (9+ 44-) | Lifetime: 19.4%
Episode     8 | Steps:     370 | Reward:  -3.306 | Avg(100):  -1.291 | Entropy: 0.0999 | Acc: 10.5% (6+ 51-) | Lifetime: 18.1%
Episode     9 | Steps:     411 | Reward:  -3.104 | Avg(100):  -1.473 | Entropy: 0.0998 | Acc: 12.2% (5+ 36-) | Lifetime: 17.5%
Episode    10 | Steps:     441 | Reward:   0.898 | Avg(100):  -1.257 | Entropy: 0.0998 | Acc: 23.3% (7+ 23-) | Lifetime: 17.9%
Episode    11 | Steps:     476 | Reward:  -2.600 | Avg(100):  -1.369 | Entropy: 0.0998 | Acc: 20.0% (7+ 28-) | Lifetime: 18.0%
  [Step 500] Action dist: A0:24% | A1:18% | A2:12% | A3:23% | A4:22%
Episode    12 | Steps:     518 | Reward:  -1.704 | Avg(100):  -1.395 | Entropy: 0.0997 | Acc: 14.3% (6+ 36-) | Lifetime: 17.7%
Episode    13 | Steps:     542 | Reward:   1.000 | Avg(100):  -1.224 | Entropy: 0.0997 | Acc: 33.3% (8+ 16-) | Lifetime: 18.4%
Episode    14 | Steps:     572 | Reward:   1.998 | Avg(100):  -1.009 | Entropy: 0.0997 | Acc: 23.3% (7+ 23-) | Lifetime: 18.7%
Episode    15 | Steps:     603 | Reward:  -0.403 | Avg(100):  -0.971 | Entropy: 0.0997 | Acc: 16.1% (5+ 26-) | Lifetime: 18.5%
Episode    16 | Steps:     641 | Reward:  -1.601 | Avg(100):  -1.008 | Entropy: 0.0997 | Acc: 21.1% (8+ 30-) | Lifetime: 18.7%
Episode    17 | Steps:     685 | Reward:  -2.504 | Avg(100):  -1.091 | Entropy: 0.0997 | Acc: 13.6% (6+ 38-) | Lifetime: 18.4%
Episode    18 | Steps:     722 | Reward:  -0.304 | Avg(100):  -1.050 | Entropy: 0.0997 | Acc: 13.5% (5+ 32-) | Lifetime: 18.1%
Episode    19 | Steps:     760 | Reward:   0.897 | Avg(100):  -0.952 | Entropy: 0.0997 | Acc: 21.1% (8+ 30-) | Lifetime: 18.3%
Episode    20 | Steps:     799 | Reward:  -1.004 | Avg(100):  -0.955 | Entropy: 0.0996 | Acc: 17.9% (7+ 32-) | Lifetime: 18.2%
Episode    21 | Steps:     826 | Reward:   0.399 | Avg(100):  -0.893 | Entropy: 0.0996 | Acc: 29.6% (8+ 19-) | Lifetime: 18.6%
Episode    22 | Steps:     864 | Reward:  -2.104 | Avg(100):  -0.946 | Entropy: 0.0996 | Acc: 15.8% (6+ 32-) | Lifetime: 18.5%
Episode    23 | Steps:     898 | Reward:   0.498 | Avg(100):  -0.886 | Entropy: 0.0995 | Acc: 23.5% (8+ 26-) | Lifetime: 18.7%
Episode    24 | Steps:     937 | Reward:  -2.902 | Avg(100):  -0.966 | Entropy: 0.0995 | Acc: 15.4% (6+ 33-) | Lifetime: 18.6%
Episode    25 | Steps:     965 | Reward:  -0.400 | Avg(100):  -0.945 | Entropy: 0.0995 | Acc: 25.0% (7+ 21-) | Lifetime: 18.7%
Episode    26 | Steps:     998 | Reward:  -1.201 | Avg(100):  -0.954 | Entropy: 0.0995 | Acc: 18.2% (6+ 27-) | Lifetime: 18.7%
  [Step 1000] Action dist: A0:24% | A1:15% | A2:11% | A3:23% | A4:27%
Episode    27 | Steps:    1034 | Reward:   0.697 | Avg(100):  -0.895 | Entropy: 0.0995 | Acc: 25.0% (9+ 27-) | Lifetime: 18.9%
Episode    28 | Steps:    1058 | Reward:   2.099 | Avg(100):  -0.792 | Entropy: 0.0995 | Acc: 33.3% (8+ 16-) | Lifetime: 19.3%
Episode    29 | Steps:    1096 | Reward:   0.497 | Avg(100):  -0.749 | Entropy: 0.0995 | Acc: 18.4% (7+ 31-) | Lifetime: 19.2%
Episode    30 | Steps:    1130 | Reward:   0.897 | Avg(100):  -0.696 | Entropy: 0.0995 | Acc: 20.6% (7+ 27-) | Lifetime: 19.3%
Episode    31 | Steps:    1160 | Reward:   1.197 | Avg(100):  -0.637 | Entropy: 0.0994 | Acc: 23.3% (7+ 23-) | Lifetime: 19.4%
Episode    32 | Steps:    1191 | Reward:  -1.401 | Avg(100):  -0.660 | Entropy: 0.0994 | Acc: 19.4% (6+ 25-) | Lifetime: 19.4%
Episode    33 | Steps:    1227 | Reward:   0.097 | Avg(100):  -0.638 | Entropy: 0.0994 | Acc: 19.4% (7+ 29-) | Lifetime: 19.4%
Episode    34 | Steps:    1269 | Reward:  -0.601 | Avg(100):  -0.637 | Entropy: 0.0994 | Acc: 19.0% (8+ 34-) | Lifetime: 19.4%
Episode    35 | Steps:    1303 | Reward:   0.897 | Avg(100):  -0.594 | Entropy: 0.0993 | Acc: 23.5% (8+ 26-) | Lifetime: 19.5%
Episode    36 | Steps:    1332 | Reward:   0.698 | Avg(100):  -0.559 | Entropy: 0.0993 | Acc: 24.1% (7+ 22-) | Lifetime: 19.6%
Episode    37 | Steps:    1368 | Reward:  -1.603 | Avg(100):  -0.587 | Entropy: 0.0993 | Acc: 13.9% (5+ 31-) | Lifetime: 19.4%
Episode    38 | Steps:    1397 | Reward:   3.598 | Avg(100):  -0.479 | Entropy: 0.0993 | Acc: 31.0% (9+ 20-) | Lifetime: 19.7%
Episode    39 | Steps:    1423 | Reward:   0.398 | Avg(100):  -0.457 | Entropy: 0.0992 | Acc: 19.2% (5+ 21-) | Lifetime: 19.7%
Episode    40 | Steps:    1445 | Reward:   4.899 | Avg(100):  -0.327 | Entropy: 0.0992 | Acc: 45.5% (10+ 12-) | Lifetime: 20.1%
Episode    41 | Steps:    1487 | Reward:  -3.002 | Avg(100):  -0.390 | Entropy: 0.0992 | Acc: 11.9% (5+ 37-) | Lifetime: 19.8%
  [Step 1500] Action dist: A0:14% | A1:18% | A2:24% | A3:23% | A4:21%
Episode    42 | Steps:    1525 | Reward:  -4.302 | Avg(100):  -0.481 | Entropy: 0.0992 | Acc: 10.5% (4+ 34-) | Lifetime: 19.6%
